Week,Lbs. Sold
2009-09-13,"14,995"
2009-09-20,"21,218"
2009-09-27,"14,764"
2009-10-04,"14,905"
2009-10-11,"16,611"
2009-10-18,"18,343"
2009-10-25,"25,017"
2009-11-01,"10,741"
2009-11-08,"11,722"
2009-11-15,"17,457"
2009-11-22,"15,513"
2009-11-29,"15,038"
2009-12-06,"20,636"
2009-12-13,"20,792"
2009-12-20,"6,715"
2009-12-27,"22,207"
2010-01-03,"8,102"
2010-01-10,"13,969"
2010-01-17,"35,669"
2010-01-24,"19,592"
2010-01-31,"17,645"
2010-02-07,"15,911"
2010-02-14,"14,516"
2010-02-21,"25,250"
2010-02-28,"23,285"
2010-03-07,"20,585"
2010-03-14,"11,532"
2010-03-21,"24,894"
2010-03-28,"12,908"
2010-04-04,"19,234"
2010-04-11,"20,026"
2010-04-18,"22,317"
2010-04-25,"28,181"
2010-05-02,"28,906"
2010-05-09,"15,729"
2010-05-16,"14,793"
2010-05-23,"30,790"
2010-05-30,"27,704"
2010-06-06,"12,274"
2010-06-13,"14,862"
2010-06-20,"19,431"
2010-06-27,"21,976"
2010-07-04,"5,380"
2010-07-11,"17,776"
2010-07-18,"14,307"
